,request
2003-03-01 10:52:28.591,diaze
2003-03-01 10:53:00.789,ativan
2003-03-01 10:53:08.641,clarithro
2003-03-01 10:53:13.911,remeron
2003-03-01 10:53:15.908,rozere
2003-03-01 10:53:39.351,biaxin
2003-03-01 10:53:46.173,adderall
2003-03-01 10:53:46.659,ativan
2003-03-01 10:53:47.464,suprep
2003-03-01 10:54:16.289,effexor xr
2003-03-01 10:54:19.168,loratadine
2003-03-01 10:54:24.905,tramadol
2003-03-01 10:54:38.284,cymbalta
2003-03-01 10:54:39.412,prazosin
2003-03-01 10:54:55.891,clarithromycin
2003-03-01 10:55:01.739,lopid
2003-03-01 10:55:05.608,motrin ib
2003-03-01 10:55:11.610,adderall xr
2003-03-01 10:55:52.910,adderall
2003-03-01 10:56:20.676,ibuprofen
2003-03-01 10:56:25.632,zyprexa
2003-03-01 10:57:08.984,adderall
2003-03-01 10:57:15.416,aten
2003-03-01 10:57:24.094,zyprexa
2003-03-01 10:57:28.866,flomax
2003-03-01 10:57:33.204,hydroxyzine
2003-03-01 10:57:41.595,morphine
2003-03-01 10:57:45.726,prozac
2003-03-01 10:57:48.222,neurontin
2003-03-01 10:58:04.393,effexor xr
2003-03-01 10:58:15.323,levaqu
2003-03-01 10:58:22.941,norco
2003-03-01 10:58:28.403,amlod
2003-03-01 10:58:49.681,betamethasone
2003-03-01 10:58:58.327,sertraline
2003-03-01 10:59:34.323,effexor
2003-03-01 10:59:41.219,floma
2003-03-01 10:59:48.539,clen
2003-03-01 10:59:54.086,mupirocin
2003-03-01 11:00:12.935,compazine
2003-03-01 11:00:16.510,choles
2003-03-01 11:00:37.349,dov
2003-03-01 11:00:49.435,androgel
2003-03-01 11:00:50.084,abilify
2003-03-01 11:00:52.171,test
2003-03-01 11:00:59.728,effexor
2003-03-01 11:01:38.383,prednisone
2003-03-01 11:01:42.693,test choles
2003-03-01 11:02:12.964,diazepam
2003-03-01 11:02:30.924,norco
2003-03-01 11:02:56.147,xa
2003-03-01 11:03:01.221,amoxicillin
2003-03-01 11:03:03.642,hydroxyzine hcl
2003-03-01 11:03:06.351,naltrexone
2003-03-01 11:03:27.591,ritalin
2003-03-01 11:03:28.828,naltrexone
2003-03-01 11:04:05.281,effexor xr
2003-03-01 11:04:18.805,norco
2003-03-01 11:04:40.346,flagyl
2003-03-01 11:04:48.962,hydrocor
2003-03-01 11:04:49.116,norco
2003-03-01 11:04:56.053,omep
2003-03-01 11:06:16.668,valtrex
2003-03-01 11:06:43.793,retin
2003-03-01 11:06:44.562,morphine concentrate
2003-03-01 11:06:46.457,polytrim
2003-03-01 11:07:53.641,polymyxin b sulf-trimethoprim
2003-03-01 11:08:09.610,celexa
2003-03-01 11:08:29.699,trazodone
2003-03-01 11:08:44.233,norco
2003-03-01 11:09:24.145,clindamy
2003-03-01 11:10:24.089,norco
2003-03-01 11:10:53.059,lumigan
2003-03-01 11:11:08.360,lorati
2003-03-01 11:11:12.651,ibuprofen
2003-03-01 11:11:51.015,metopr
2003-03-01 11:11:52.892,lithium carbonate
2003-03-01 11:11:57.527,hydrocortison
2003-03-01 11:11:57.784,morphine
2003-03-01 11:11:58.703,celexa
2003-03-01 11:12:06.820,quetip
2003-03-01 11:12:09.083,quetiapine
2003-03-01 11:12:37.570,morphine
2003-03-01 11:12:39.727,trilept
2003-03-01 11:13:02.413,bisacodyl
2003-03-01 11:13:16.858,protonix
2003-03-01 11:13:19.445,morphine
2003-03-01 11:13:35.803,haldol
2003-03-01 11:13:36.164,trazodo
2003-03-01 11:14:03.804,nulytely
2003-03-01 11:14:03.830,remeron
2003-03-01 11:14:11.367,lexapro
2003-03-01 11:14:13.183,lorazepam
2003-03-01 11:14:18.017,effexor
2003-03-01 11:14:47.228,eemt
2003-03-01 11:15:14.387,minipres
2003-03-01 11:15:26.965,laura
2003-03-01 11:15:27.636,zoloft
2003-03-01 11:15:30.376,methadone
2003-03-01 11:15:39.940,crestor
2003-03-01 11:15:44.446,adderall xr
2003-03-01 11:15:46.580,aspirin low dose
2003-03-01 11:15:47.941,imipramine hcl
2003-03-01 11:15:49.137,trintel
2003-03-01 11:16:01.221,azelastine
2003-03-01 11:16:07.925,robinul
2003-03-01 11:16:19.187,artificial tears
2003-03-01 11:16:22.793,morphine
2003-03-01 11:16:41.712,polytrim
2003-03-01 11:16:45.050,predn
2003-03-01 11:17:01.054,polymyxin b sulf-trimethoprim
2003-03-01 11:17:16.208,zoloft
2003-03-01 11:17:22.321,tizanidine
2003-03-01 11:17:27.697,bisacodyl
2003-03-01 11:18:00.309,prazosin
2003-03-01 11:18:26.435,norco
2003-03-01 11:18:31.191,lorazepam
2003-03-01 11:18:41.758,tizanidine
2003-03-01 11:18:42.778,bupropion
2003-03-01 11:19:13.652,brimon
2003-03-01 11:19:19.674,lexapro
2003-03-01 11:19:21.139,cipro
2003-03-01 11:19:22.846,gabapentin
2003-03-01 11:19:29.379,armour thyroid
2003-03-01 11:19:44.482,ambien
2003-03-01 11:19:47.406,ativan
2003-03-01 11:19:48.507,duloxetine
2003-03-01 11:19:49.591,cymbalta
2003-03-01 11:19:56.491,hydroxyzine hcl
2003-03-01 11:19:57.434,robofen
2003-03-01 11:19:57.910,topiramate
2003-03-01 11:20:02.150,hydroxyzine pamoate
2003-03-01 11:20:07.483,alprazolam
2003-03-01 11:20:14.298,morphine
2003-03-01 11:20:14.625,atomoxetine
2003-03-01 11:20:16.088,tizanidine
2003-03-01 11:20:41.830,glucophage
2003-03-01 11:20:42.780,methocarb
2003-03-01 11:20:44.506,norco
2003-03-01 11:20:53.113,hydromorp
2003-03-01 11:21:07.094,concerta
2003-03-01 11:21:11.397,infant ty
2003-03-01 11:21:21.514,topiramate
2003-03-01 11:21:22.591,glucophage xr
2003-03-01 11:21:23.972,trazodone
2003-03-01 11:21:52.014,morphabon
2003-03-01 11:21:54.968,zyprex
2003-03-01 11:21:57.751,bupropion hcl
2003-03-01 11:22:21.750,tramadol
2003-03-01 11:22:34.457,fluoxetine
2003-03-01 11:22:40.712,trazodone
2003-03-01 11:23:02.775,hydrocodone-acetaminophen
2003-03-01 11:23:04.952,methocar
2003-03-01 11:23:11.373,norco
2003-03-01 11:23:13.268,movantik
2003-03-01 11:23:31.281,prednisolo
2003-03-01 11:23:37.639,kefl
2003-03-01 11:23:39.673,norco
2003-03-01 11:23:41.816,movantik
2003-03-01 11:23:59.226,buspirone
2003-03-01 11:24:03.885,traz
2003-03-01 11:24:37.433,fluoxetine
2003-03-01 11:24:49.626,topiramate
2003-03-01 11:24:52.506,cymbalta
2003-03-01 11:24:52.627,ketoro
2003-03-01 11:25:14.412,methylphenidate hcl
2003-03-01 11:25:17.700,baclofen
2003-03-01 11:25:21.173,glipizide
2003-03-01 11:25:22.504,adderall
2003-03-01 11:25:25.604,movantik
2003-03-01 11:25:31.263,temazepam
2003-03-01 11:25:43.071,norco
2003-03-01 11:25:50.997,zithromax
2003-03-01 11:25:52.594,reglan
2003-03-01 11:25:59.107,tizanidine
2003-03-01 11:26:17.289,bactrim
2003-03-01 11:26:18.176,duexis
2003-03-01 11:26:22.082,erythro
2003-03-01 11:26:25.462,morphabond
2003-03-01 11:26:47.817,motrin
2003-03-01 11:26:48.205,azelastine
2003-03-01 11:26:52.630,trazodone
2003-03-01 11:26:53.782,mucinex
2003-03-01 11:26:56.542,diazepam
2003-03-01 11:26:59.397,anap
2003-03-01 11:27:17.534,norco
2003-03-01 11:27:19.601,ciprofloxa
2003-03-01 11:27:19.953,z-pak
2003-03-01 11:27:46.659,dilt
2003-03-01 11:28:13.024,oxycontin
2003-03-01 11:28:13.377,tizn
2003-03-01 11:28:13.796,tizanidi
2003-03-01 11:28:20.344,ibprofin
2003-03-01 11:28:23.677,norco
2003-03-01 11:28:44.727,trazodone
2003-03-01 11:28:45.514,morphabond er
2003-03-01 11:28:47.646,ibuprofen
2003-03-01 11:28:49.778,norco
2003-03-01 11:29:08.795,guanfacine
2003-03-01 11:29:09.257,morphabond er
2003-03-01 11:29:18.380,prednisolo
2003-03-01 11:29:38.395,adderall
2003-03-01 11:29:59.868,vyvanse
2003-03-01 11:30:03.621,zoloft
2003-03-01 11:30:17.043,tizanidine
2003-03-01 11:30:18.856,depakote
2003-03-01 11:30:29.817,prolensa
2003-03-01 11:30:35.451,xanax
2003-03-01 11:30:46.219,simvastatin
2003-03-01 11:31:05.196,xylon
2003-03-01 11:31:06.334,depakote
2003-03-01 11:31:12.098,viibry
2003-03-01 11:31:12.995,ibudon
2003-03-01 11:31:23.609,fentanyl citrate (pf)
2003-03-01 11:31:24.057,ibuprofen
2003-03-01 11:32:06.876,ibup
2003-03-01 11:32:12.760,percocet
2003-03-01 11:32:30.178,wellbutrin
2003-03-01 11:32:46.974,melat
2003-03-01 11:32:49.077,fentanyl
2003-03-01 11:32:53.708,mydayis
2003-03-01 11:33:00.781,januvia
2003-03-01 11:33:25.261,tradjen
2003-03-01 11:33:26.134,seroqu
2003-03-01 11:33:39.987,prozac
2003-03-01 11:33:41.940,hydromorphone
2003-03-01 11:33:56.857,oxcarbazepine
2003-03-01 11:34:05.705,lexapro
2003-03-01 11:34:26.754,movantik
2003-03-01 11:34:30.114,trazodone
2003-03-01 11:34:30.387,beta
2003-03-01 11:34:33.825,prozac
2003-03-01 11:34:58.762,oxycod
2003-03-01 11:35:02.562,ativan
2003-03-01 11:35:16.957,tizanidine
2003-03-01 11:35:35.045,prozac
2003-03-01 11:35:35.106,norco
2003-03-01 11:35:45.183,dexedrine spansule
2003-03-01 11:35:46.023,trazodone
2003-03-01 11:36:05.170,fentanyl
2003-03-01 11:36:21.500,norco
2003-03-01 11:36:24.159,quetiapine
2003-03-01 11:36:45.720,prometrium
2003-03-01 11:36:56.918,sertraline
2003-03-01 11:37:05.520,clonazepam
2003-03-01 11:37:34.919,xalatan
2003-03-01 11:37:58.696,paroxet
2003-03-01 11:38:17.587,tramadol
2003-03-01 11:38:26.636,vyvanse
2003-03-01 11:38:29.061,avar
2003-03-01 11:39:08.767,quetiapi
2003-03-01 11:39:10.814,tret
2003-03-01 11:39:17.329,ampicill
2003-03-01 11:39:20.408,biaxin
2003-03-01 11:39:20.647,fludrocortisone
2003-03-01 11:39:41.487,zoloft
2003-03-01 11:39:44.566,latuda
2003-03-01 11:39:49.214,ambien
2003-03-01 11:39:50.919,neurontin
2003-03-01 11:39:53.199,ativan
2003-03-01 11:40:02.674,wellbutrin xl
2003-03-01 11:40:16.557,senna-s
2003-03-01 11:40:22.914,clarithromycin
2003-03-01 11:40:23.227,adderall
2003-03-01 11:40:56.109,xanax
2003-03-01 11:41:04.784,keflex
2003-03-01 11:41:19.388,oxycontin
2003-03-01 11:41:29.699,alprazolam
2003-03-01 11:41:40.161,sertraline
2003-03-01 11:41:51.776,alprazolam
2003-03-01 11:42:03.370,diltiazem hcl
2003-03-01 11:42:09.578,latanoprost
2003-03-01 11:42:11.545,ambien
2003-03-01 11:42:14.491,cephalexin
2003-03-01 11:42:15.069,hydrocortisone
2003-03-01 11:42:16.290,vimo
2003-03-01 11:42:17.056,synthroid
2003-03-01 11:42:40.551,lunes
2003-03-01 11:42:54.092,multivitamin
2003-03-01 11:42:59.306,buprenorphine-naloxone
2003-03-01 11:43:06.397,cymb
2003-03-01 11:43:08.872,tamsulosin
2003-03-01 11:43:17.796,seroquel
2003-03-01 11:43:20.017,levsi
2003-03-01 11:43:20.910,latanoprost
2003-03-01 11:44:02.741,klonopin
2003-03-01 11:44:03.906,diphenhydramine hcl
2003-03-01 11:44:09.904,doxicycline
2003-03-01 11:44:14.506,dulcolax (bisacodyl)
2003-03-01 11:44:23.143,wellbutrin sr
2003-03-01 11:44:28.982,clonazepam
2003-03-01 11:44:36.518,doxyc
2003-03-01 11:44:45.763,benadryl
2003-03-01 11:45:42.260,xanax
2003-03-01 11:45:46.280,cialis
2003-03-01 11:46:22.519,hydrocodone-acetaminophen
2003-03-01 11:46:30.638,vicod
2003-03-01 11:46:39.356,alprazolam
2003-03-01 11:48:01.451,tizanidine
2003-03-01 11:48:10.147,vyvanse
2003-03-01 11:48:39.835,zypre
2003-03-01 11:48:46.687,monodox
2003-03-01 11:49:23.479,cleocin
2003-03-01 11:49:34.002,ativan
2003-03-01 11:49:50.675,zyprexa
2003-03-01 11:49:57.737,vyvanse
2003-03-01 11:50:25.024,abilify
2003-03-01 11:50:31.867,ativan
2003-03-01 11:51:18.763,lexapro
2003-03-01 11:51:23.055,norco
2003-03-01 11:51:36.375,restasis
2003-03-01 11:52:17.894,prozac
2003-03-01 11:52:22.312,eustice
2003-03-01 11:52:35.359,claritin
2003-03-01 11:52:43.996,clonazepam
2003-03-01 11:52:44.301,xanax
2003-03-01 11:53:03.248,hydroxy
2003-03-01 11:53:11.003,concerta
2003-03-01 11:53:11.708,tramadol
2003-03-01 11:53:14.434,percocet
2003-03-01 11:53:17.024,norco
2003-03-01 11:53:27.251,plavix
2003-03-01 11:53:49.718,effexor xr
2003-03-01 11:53:59.715,abil
2003-03-01 11:54:07.247,lithium carbonate
2003-03-01 11:54:37.664,well
2003-03-01 11:55:04.569,ibupro
2003-03-01 11:55:21.631,lamictal xr
2003-03-01 11:55:43.149,benzamy
2003-03-01 11:56:30.234,morphabond er
2003-03-01 11:56:44.501,vyvanse
2003-03-01 11:56:46.622,lisdexamfetamine
2003-03-01 11:56:54.522,metopro
2003-03-01 11:56:55.192,olanzapi
2003-03-01 11:57:02.887,clinpro 5000
2003-03-01 11:57:04.276,percocet
2003-03-01 11:57:52.998,timolol maleate
2003-03-01 11:58:33.961,lorazepam
2003-03-01 11:59:01.064,escitalopram oxalate
2003-03-01 11:59:11.651,ritalin
2003-03-01 11:59:44.917,adderall xr
2003-03-01 12:00:16.260,adderall
2003-03-01 12:00:53.536,vraylar
2003-03-01 12:01:02.058,adderall
2003-03-01 12:01:32.431,zoloft
2003-03-01 12:01:38.915,hydrocodone-acetaminophen
2003-03-01 12:02:04.444,restoril
2003-03-01 12:02:14.121,klonopin
2003-03-01 12:02:18.624,abili
2003-03-01 12:02:34.058,coumadin
2003-03-01 12:02:34.314,medroxy
2003-03-01 12:02:39.128,vyvan
2003-03-01 12:02:44.811,depakote
2003-03-01 12:02:47.990,nicotine
2003-03-01 12:03:00.005,estradiol
2003-03-01 12:03:10.378,abilify
2003-03-01 12:03:11.502,warf
2003-03-01 12:03:15.814,ipratropium-albuterol
2003-03-01 12:03:20.603,trazodone
2003-03-01 12:03:52.483,valiu
2003-03-01 12:03:56.063,risperdal
2003-03-01 12:03:56.166,bupropion hcl
2003-03-01 12:04:11.764,klonopin
2003-03-01 12:04:25.540,ambien
2003-03-01 12:04:33.251,guanfacine
2003-03-01 12:04:39.091,rit
2003-03-01 12:04:39.738,bupropion hcl
2003-03-01 12:04:43.750,percocet
2003-03-01 12:04:52.345,klonopin
2003-03-01 12:04:55.526,lisinopril
2003-03-01 12:04:57.161,lyrica
2003-03-01 12:05:05.932,rilutek
2003-03-01 12:05:11.205,dilaudid
2003-03-01 12:05:11.772,bupropion hcl
2003-03-01 12:05:13.872,tramadol
2003-03-01 12:05:14.608,warfarin
2003-03-01 12:05:16.372,ritalin
2003-03-01 12:05:34.292,coumadin
2003-03-01 12:06:08.986,loraze
2003-03-01 12:06:15.938,fluox
2003-03-01 12:06:51.937,concerta
2003-03-01 12:07:27.912,tiza
2003-03-01 12:07:32.802,clonid
2003-03-01 12:07:43.831,norco
2003-03-01 12:08:06.245,oxycodone
2003-03-01 12:08:06.362,vistar
2003-03-01 12:08:24.173,gabapentin
2003-03-01 12:08:42.749,cutiva
2003-03-01 12:08:46.789,provera
2003-03-01 12:08:50.198,celexa
2003-03-01 12:08:52.142,fioricet
2003-03-01 12:09:12.081,abilify
2003-03-01 12:09:29.944,doxazosin
2003-03-01 12:09:31.031,fentanyl
2003-03-01 12:09:32.806,oxycodone
2003-03-01 12:09:33.321,gabapentin
2003-03-01 12:09:40.695,wellb
2003-03-01 12:09:56.596,flomax
2003-03-01 12:10:29.580,fentanyl
2003-03-01 12:10:32.097,perco
2003-03-01 12:10:40.771,morphine
2003-03-01 12:10:42.093,ammonium
2003-03-01 12:11:06.034,metoprolol tartrate
2003-03-01 12:11:09.982,fentanyl
2003-03-01 12:11:11.260,focalin xr
2003-03-01 12:11:18.654,gabapentin
2003-03-01 12:11:20.616,amox
2003-03-01 12:11:30.119,prozac
2003-03-01 12:12:05.838,proz
2003-03-01 12:12:10.372,test
2003-03-01 12:12:10.459,wellbutrin
2003-03-01 12:12:21.423,seroquel
2003-03-01 12:12:24.721,adipex-p
2003-03-01 12:12:28.143,aripiprazole
2003-03-01 12:12:38.200,cordram
2003-03-01 12:12:48.008,cabergoline
2003-03-01 12:12:53.221,zyprexa
2003-03-01 12:12:56.933,norco
2003-03-01 12:13:07.897,percocet
2003-03-01 12:13:15.798,methadone
2003-03-01 12:13:24.126,seroquel
2003-03-01 12:13:29.254,mela
2003-03-01 12:13:33.364,lyrica
2003-03-01 12:13:53.333,avelox
2003-03-01 12:13:55.647,norco
2003-03-01 12:14:03.169,seroqul
2003-03-01 12:14:30.092,hydrocodone
2003-03-01 12:14:46.842,norco
2003-03-01 12:14:50.573,alprazolam
2003-03-01 12:14:54.171,metformin
2003-03-01 12:14:58.612,zoloft
2003-03-01 12:15:00.002,trazodone
2003-03-01 12:15:05.353,amlodipine
2003-03-01 12:15:35.787,klonopin
2003-03-01 12:15:42.059,trulanc
2003-03-01 12:15:48.319,focalin
2003-03-01 12:15:52.685,maxitrol
2003-03-01 12:15:53.981,pred forte
2003-03-01 12:15:56.257,avelox
2003-03-01 12:16:02.451,imitrex
2003-03-01 12:16:06.198,depakote er
2003-03-01 12:16:32.014,azith
2003-03-01 12:16:37.137,cymbalta
2003-03-01 12:16:45.393,dilaudid
2003-03-01 12:16:52.654,pred forte
2003-03-01 12:17:17.661,montelukast
2003-03-01 12:17:26.475,proz
2003-03-01 12:17:39.836,metformin
2003-03-01 12:17:40.285,seroquel
2003-03-01 12:17:41.338,montelukast
2003-03-01 12:17:59.984,amitriptyline
2003-03-01 12:18:07.995,norco
2003-03-01 12:18:16.304,clonazepam
2003-03-01 12:18:29.947,gaba
2003-03-01 12:18:35.900,wellbutrin xl
2003-03-01 12:18:47.484,fluoxe
2003-03-01 12:18:54.411,focalin xr
2003-03-01 12:19:16.503,bupreno
2003-03-01 12:19:20.266,seroquel
2003-03-01 12:19:40.574,fentany
2003-03-01 12:19:44.057,erythro
2003-03-01 12:19:56.346,abilify
2003-03-01 12:20:05.235,par
2003-03-01 12:20:32.213,morphine
2003-03-01 12:20:33.303,cyclobenzaprine
2003-03-01 12:20:57.026,zofran (as hydrochloride)
2003-03-01 12:21:09.547,viibryd
2003-03-01 12:21:12.733,tami
2003-03-01 12:21:24.615,lyrica
2003-03-01 12:21:28.609,norco
2003-03-01 12:21:30.140,brimonidine
2003-03-01 12:21:32.384,clonazepam
2003-03-01 12:21:46.193,tizanidine
2003-03-01 12:22:09.089,ambien
2003-03-01 12:22:10.398,lamic
2003-03-01 12:22:18.972,wellbutrin xl
2003-03-01 12:22:27.149,norco
2003-03-01 12:22:44.068,alprazolam
2003-03-01 12:22:51.072,brimonidine
2003-03-01 12:22:54.593,napre
2003-03-01 12:22:58.548,qvar
2003-03-01 12:23:23.225,adderall
2003-03-01 12:23:23.623,vivo
2003-03-01 12:23:54.688,morphine
2003-03-01 12:24:09.357,norco
2003-03-01 12:24:40.279,oxyc
2003-03-01 12:24:41.498,adderall xr
2003-03-01 12:24:43.088,sennosides-docusate sodium
2003-03-01 12:24:53.650,leve
2003-03-01 12:25:10.756,ritalin
2003-03-01 12:25:13.445,mucinex
2003-03-01 12:25:13.660,norco
2003-03-01 12:25:17.238,sertraline
2003-03-01 12:25:17.577,risp
2003-03-01 12:25:35.845,fluoxetine
2003-03-01 12:25:40.002,vento
2003-03-01 12:25:46.171,tobra
2003-03-01 12:25:51.802,ritalin
2003-03-01 12:26:04.169,norco
2003-03-01 12:26:25.649,norco
2003-03-01 12:26:28.663,prozac
2003-03-01 12:26:30.418,dilaudid
2003-03-01 12:26:48.524,hydrocodone-acetaminophen
2003-03-01 12:27:05.906,colace
2003-03-01 12:27:17.871,flomax
2003-03-01 12:27:18.619,ativan
2003-03-01 12:27:21.324,morphine
2003-03-01 12:27:28.768,percocet
2003-03-01 12:27:29.771,lasix
2003-03-01 12:27:31.676,griseo
2003-03-01 12:27:34.816,aceta
2003-03-01 12:27:43.284,gabapentin
2003-03-01 12:28:01.852,ibu 800
2003-03-01 12:28:11.026,motrin 800
2003-03-01 12:28:18.440,oxycodone
2003-03-01 12:28:29.485,gabapentin
2003-03-01 12:28:29.778,morphine
2003-03-01 12:28:38.644,oxycontin
2003-03-01 12:28:47.835,ibupro
2003-03-01 12:28:50.442,zegerid
2003-03-01 12:28:57.911,norco
2003-03-01 12:29:25.984,travat
2003-03-01 12:29:33.372,amoxi
2003-03-01 12:29:49.305,robaxin
2003-03-01 12:29:49.744,oxycontin
2003-03-01 12:29:56.544,morphine
2003-03-01 12:30:02.382,lyrica
2003-03-01 12:30:04.491,sertraline
2003-03-01 12:30:06.012,oxycodone
2003-03-01 12:30:08.049,cym
2003-03-01 12:30:12.800,clonazepam
2003-03-01 12:30:16.723,norco
2003-03-01 12:30:17.225,gabapentin
2003-03-01 12:30:17.838,latanoprost
2003-03-01 12:30:29.715,zohydro er
2003-03-01 12:31:07.047,morphine
2003-03-01 12:31:10.227,tylenol
2003-03-01 12:31:25.310,sennosides-docusate sodium
2003-03-01 12:31:28.937,ibuprofen
2003-03-01 12:31:39.354,norco
2003-03-01 12:31:41.951,peridex
2003-03-01 12:31:48.617,potass
2003-03-01 12:31:56.574,typhoi
2003-03-01 12:31:58.009,wellbutrin xl
2003-03-01 12:32:04.553,motrin
2003-03-01 12:32:09.864,norco
2003-03-01 12:32:22.736,ibuprofen
2003-03-01 12:32:41.105,viibryd
2003-03-01 12:32:50.666,typhoi
2003-03-01 12:32:51.441,lotemax
2003-03-01 12:33:05.829,cyclo
2003-03-01 12:33:23.457,methadone
2003-03-01 12:33:35.575,benztropine
2003-03-01 12:33:36.423,baci
2003-03-01 12:33:46.542,temaze
2003-03-01 12:33:54.774,trilipix
2003-03-01 12:33:59.599,gabapentin
2003-03-01 12:34:03.570,adderall xr
2003-03-01 12:34:07.773,benztropine
2003-03-01 12:34:12.132,escitalopram oxalate
2003-03-01 12:34:38.687,diflucan
2003-03-01 12:34:39.548,hydrochlorothiazide
2003-03-01 12:34:55.010,morphine
2003-03-01 12:34:59.925,metformin
2003-03-01 12:35:18.688,aripiprazole
2003-03-01 12:35:19.150,xtampza er
2003-03-01 12:35:19.642,omeprazole
2003-03-01 12:35:44.295,flex
2003-03-01 12:35:51.441,adderall
2003-03-01 12:35:54.658,vytorin 10-80
2003-03-01 12:36:00.263,morphine
2003-03-01 12:36:15.537,hydroxyzine
2003-03-01 12:36:36.953,predn
2003-03-01 12:36:45.933,opthe
2003-03-01 12:36:58.255,metformin
2003-03-01 12:37:02.218,klonopin
2003-03-01 12:37:11.950,alcon
2003-03-01 12:37:19.582,vii
2003-03-01 12:37:24.549,percocet
2003-03-01 12:37:47.508,naphco
2003-03-01 12:37:55.015,tramadol
2003-03-01 12:38:01.117,trazodone
2003-03-01 12:38:01.357,seroquel
2003-03-01 12:38:19.112,cetrotide
2003-03-01 12:38:19.625,adderall
2003-03-01 12:38:22.366,clonazepam
2003-03-01 12:39:05.864,clonazepam
2003-03-01 12:39:11.620,metopr
2003-03-01 12:39:32.208,albute
2003-03-01 12:39:36.608,hydrocodone-acetaminophen
2003-03-01 12:39:52.500,zoloft
2003-03-01 12:39:53.911,gabapentin
2003-03-01 12:40:02.711,zofran (as hydrochloride)
2003-03-01 12:40:04.703,adderall
2003-03-01 12:40:32.937,zithromax
2003-03-01 12:40:44.889,vistaril
2003-03-01 12:40:56.094,bupro
2003-03-01 12:40:57.911,vyvanse
2003-03-01 12:40:58.540,robaxin
2003-03-01 12:41:00.557,leuprolide
2003-03-01 12:41:32.637,adderall
2003-03-01 12:41:49.268,mirapex
2003-03-01 12:41:55.520,trazod
2003-03-01 12:41:57.772,norco
2003-03-01 12:42:08.178,amoxicillin
2003-03-01 12:42:08.501,timolol maleate
2003-03-01 12:42:10.391,bupropion hcl
2003-03-01 12:42:15.096,adderall xr
2003-03-01 12:42:40.100,ziac
2003-03-01 12:42:42.512,santow
2003-03-01 12:42:59.046,clonidine hcl
2003-03-01 12:43:01.490,doxepin
2003-03-01 12:43:12.748,seroquel
2003-03-01 12:43:33.626,clonidine hcl
2003-03-01 12:43:57.684,atrovent
2003-03-01 12:44:12.852,trileptal
2003-03-01 12:44:16.376,morphine
2003-03-01 12:44:39.962,risperda
2003-03-01 12:44:44.720,zyprexa
2003-03-01 12:45:02.977,buspar
2003-03-01 12:45:26.568,lamotrigine
2003-03-01 12:45:36.800,lithium carbonate
2003-03-01 12:45:43.127,risperdal
2003-03-01 12:45:52.323,ambien
2003-03-01 12:45:57.611,sertraline
2003-03-01 12:46:07.817,ativan
2003-03-01 12:46:23.156,paxil
2003-03-01 12:46:25.269,risperdal
2003-03-01 12:46:59.244,celexa
2003-03-01 12:47:11.236,sinemet
2003-03-01 12:47:12.496,augme
2003-03-01 12:47:43.928,sudafe
2003-03-01 12:48:05.861,clindamycin hcl
2003-03-01 12:48:27.940,toradol
2003-03-01 12:48:33.099,clonidine
2003-03-01 12:48:48.403,hysingla er
2003-03-01 12:49:32.273,klono
2003-03-01 12:49:57.847,cefdinir
2003-03-01 12:50:16.773,albuter
2003-03-01 12:50:23.458,robitussin max
2003-03-01 12:50:24.292,zoloft
2003-03-01 12:50:28.098,prozac
2003-03-01 12:50:56.367,torid
2003-03-01 12:51:04.374,prozac
2003-03-01 12:51:41.557,seroquel
2003-03-01 12:52:03.524,norco
2003-03-01 12:52:31.843,clonazepam
2003-03-01 12:52:55.231,tramadol
2003-03-01 12:52:56.011,alcor
2003-03-01 12:53:19.200,levaquin
2003-03-01 12:53:22.159,proair
2003-03-01 12:53:30.009,xalatan
2003-03-01 12:53:44.278,senna
2003-03-01 12:53:57.080,klonopin
2003-03-01 12:54:10.210,tessalon
2003-03-01 12:54:32.833,cyclobenzaprine
2003-03-01 12:54:33.263,hydrocodone-acetaminophen
2003-03-01 12:54:58.424,norco
2003-03-01 12:55:00.039,hydrocodone-acetaminophen
2003-03-01 12:55:12.153,lamictal
2003-03-01 12:55:17.671,proges
2003-03-01 12:55:26.793,folic acid
2003-03-01 12:55:53.191,intu
2003-03-01 12:55:59.758,norco
2003-03-01 12:56:05.605,reclipsen
2003-03-01 12:56:22.062,adderall
2003-03-01 12:56:25.224,trazodone
2003-03-01 12:56:28.139,morphine concentrate
2003-03-01 12:56:32.789,norco
2003-03-01 12:56:33.547,gabapentin
2003-03-01 12:56:55.739,hydroxychloroquine
2003-03-01 12:57:04.504,trazo
2003-03-01 12:57:15.867,endocet
2003-03-01 12:57:23.443,carbone
2003-03-01 12:57:56.125,lamictal
2003-03-01 12:57:57.509,morphine
2003-03-01 12:57:58.946,oxyco
2003-03-01 12:58:07.761,vyvanse
2003-03-01 12:58:13.332,ms contin
2003-03-01 12:58:22.651,endoc
2003-03-01 12:58:29.692,xanax
2003-03-01 12:58:39.536,norco
2003-03-01 12:58:52.310,ativan
2003-03-01 12:58:55.642,baclofen
2003-03-01 12:59:01.435,hydrocodone-acetaminophen
2003-03-01 12:59:08.379,sulfasalazine
2003-03-01 12:59:10.887,vyvanse
2003-03-01 12:59:55.417,zolpidem
2003-03-01 12:59:56.369,baclo
2003-03-01 13:00:05.048,neomycin
2003-03-01 13:00:29.545,keppra
2003-03-01 13:00:32.280,zetia
